z,upwp_D,upwp_S,u_D,u_S
12.33,7.938,7.938,23.58,22.44
12.48,7.823,7.823,23.8,22.65
12.62,7.708,7.708,24,22.86
12.77,7.593,7.593,24.2,23.05
12.91,7.478,7.478,24.4,23.24
13.06,7.363,7.363,24.58,23.43
13.2,7.248,7.248,24.77,23.61
13.34,7.133,7.133,24.94,23.78
13.49,7.018,7.018,25.11,23.94
13.63,6.903,6.903,25.27,24.1
13.78,6.788,6.788,25.43,24.26
13.92,6.672,6.672,25.58,24.4
14.07,6.557,6.557,25.73,24.55
14.21,6.442,6.442,25.87,24.68
14.36,6.327,6.327,26.01,24.82
14.5,6.212,6.212,26.14,24.94
14.64,6.097,6.097,26.27,25.07
14.79,5.982,5.982,26.39,25.18
14.93,5.867,5.867,26.51,25.3
15.08,5.752,5.752,26.63,25.41
15.22,5.637,5.637,26.74,25.51
15.37,5.522,5.522,26.85,25.62
15.51,5.407,5.407,26.95,25.71
15.66,5.292,5.292,27.05,25.81
15.8,5.177,5.177,27.15,25.9
15.94,5.062,5.062,27.24,25.99
16.09,4.947,4.947,27.33,26.07
16.23,4.832,4.832,27.42,26.15
16.38,4.717,4.717,27.5,26.23
16.52,4.602,4.602,27.58,26.31
16.67,4.487,4.487,27.66,26.38
16.81,4.372,4.372,27.74,26.45
16.96,4.257,4.257,27.81,26.52
17.1,4.142,4.142,27.88,26.58
17.24,4.026,4.026,27.95,26.65
17.39,3.911,3.911,28.01,26.71
17.53,3.796,3.796,28.08,26.77
17.68,3.681,3.681,28.14,26.82
17.82,3.566,3.566,28.19,26.87
17.97,3.451,3.451,28.25,26.93
18.11,3.336,3.336,28.31,26.98
18.26,3.221,3.221,28.36,27.02
18.4,3.106,3.106,28.41,27.07
18.54,2.991,2.991,28.46,27.11
18.69,2.876,2.876,28.51,27.15
18.83,2.761,2.761,28.55,27.2
18.98,2.646,2.646,28.59,27.23
19.12,2.531,2.531,28.64,27.27
19.27,2.416,2.416,28.68,27.31
19.41,2.301,2.301,28.72,27.34
19.56,2.186,2.186,28.75,27.37
19.7,2.071,2.071,28.79,27.4
19.84,1.956,1.956,28.82,27.43
19.99,1.841,1.841,28.85,27.46
20.13,1.726,1.726,28.89,27.49
20.28,1.611,1.611,28.92,27.51
20.42,1.496,1.496,28.94,27.54
20.57,1.381,1.381,28.97,27.56
20.71,1.265,1.265,29,27.58
20.86,1.15,1.15,29.02,27.6
21,1.035,1.035,29.05,27.62
21.14,0.92,0.92,29.07,27.63
21.29,0.805,0.805,29.09,27.65
21.43,0.69,0.69,29.11,27.66
21.58,0.575,0.575,29.13,27.68
21.72,0.46,0.46,29.14,27.69
21.87,0.345,0.345,29.16,27.7
22.01,0.23,0.23,29.17,27.71
22.16,0.115,0.115,29.19,27.71
22.3,0,0,29.2,27.72
